BHK,SFT,CITY,CONSTRUCTION TYPE,FURNITURE TYPE,PRICE
1,748,GNT,INDP,PARTIAL," 37,47,480.00 "
1,612,VIJ,FLAT,NO," 33,04,800.00 "
1,825,HYD,FLAT,NO," 49,50,000.00 "
1,704,HYD,FLAT,FULLY," 42,38,080.00 "
1,815,GNT,INDP,PARTIAL," 40,83,150.00 "
1,779,GNT,INDP,NO," 38,95,000.00 "
1,614,KKD,FLAT,NO," 27,63,000.00 "
1,600,HYD,FLAT,NO," 36,00,000.00 "
1,726,GNT,INDP,FULLY," 36,44,520.00 "
1,862,GNT,INDP,PARTIAL," 43,18,620.00 "
1,664,KKD,FLAT,NO," 29,88,000.00 "
1,778,HYD,FLAT,NO," 46,68,000.00 "
1,665,TPT,FLAT,FULLY," 37,37,300.00 "
1,617,GNT,INDP,PARTIAL," 30,91,170.00 "
1,713,TPT,INDP,NO," 39,92,800.00 "
1,854,HYD,FLAT,NO," 51,24,000.00 "
1,815,HYD,FLAT,NO," 48,90,000.00 "
1,618,GNT,INDP,FULLY," 31,02,360.00 "
1,842,GNT,INDP,PARTIAL," 42,18,420.00 "
1,784,VIJ,FLAT,NO," 42,33,600.00 "
1,860,HYD,FLAT,NO," 51,60,000.00 "
1,706,HYD,FLAT,FULLY," 42,50,120.00 "
1,787,GNT,INDP,PARTIAL," 39,42,870.00 "
1,745,GNT,INDP,NO," 37,25,000.00 "
1,624,KKD,FLAT,NO," 28,08,000.00 "
1,876,HYD,FLAT,NO," 52,56,000.00 "
1,839,GNT,INDP,FULLY," 42,11,780.00 "
1,871,GNT,INDP,PARTIAL," 43,63,710.00 "
1,640,KKD,FLAT,NO," 28,80,000.00 "
1,701,HYD,FLAT,NO," 42,06,000.00 "
1,781,TPT,FLAT,FULLY," 43,89,220.00 "
1,788,GNT,INDP,PARTIAL," 39,47,880.00 "
1,852,TPT,INDP,NO," 47,71,200.00 "
1,871,HYD,FLAT,NO," 52,26,000.00 "
1,815,HYD,FLAT,NO," 48,90,000.00 "
1,635,GNT,INDP,FULLY," 31,87,700.00 "
1,636,GNT,INDP,PARTIAL," 31,86,360.00 "
1,791,VIJ,FLAT,NO," 42,71,400.00 "
1,862,HYD,FLAT,NO," 51,72,000.00 "
1,809,HYD,FLAT,FULLY," 48,70,180.00 "
1,656,GNT,INDP,PARTIAL," 32,86,560.00 "
1,723,GNT,INDP,NO," 36,15,000.00 "
1,614,KKD,FLAT,NO," 27,63,000.00 "
1,743,HYD,FLAT,NO," 44,58,000.00 "
1,697,GNT,INDP,FULLY," 34,98,940.00 "
1,656,GNT,INDP,PARTIAL," 32,86,560.00 "
1,862,KKD,FLAT,NO," 38,79,000.00 "
1,614,HYD,FLAT,NO," 36,84,000.00 "
1,675,TPT,FLAT,FULLY," 37,93,500.00 "
1,689,GNT,INDP,PARTIAL," 34,51,890.00 "
1,795,TPT,INDP,NO," 44,52,000.00 "
1,831,HYD,FLAT,NO," 49,86,000.00 "
1,625,HYD,FLAT,NO," 37,50,000.00 "
1,860,GNT,INDP,FULLY," 43,17,200.00 "
1,678,GNT,INDP,PARTIAL," 33,96,780.00 "
1,722,VIJ,FLAT,NO," 38,98,800.00 "
1,630,HYD,FLAT,NO," 37,80,000.00 "
1,719,HYD,FLAT,FULLY," 43,28,380.00 "
1,745,GNT,INDP,PARTIAL," 37,32,450.00 "
1,868,GNT,INDP,NO," 43,40,000.00 "
1,891,KKD,FLAT,NO," 40,09,500.00 "
1,614,HYD,FLAT,NO," 36,84,000.00 "
1,609,GNT,INDP,FULLY," 30,57,180.00 "
1,763,GNT,INDP,PARTIAL," 38,22,630.00 "
1,886,KKD,FLAT,NO," 39,87,000.00 "
1,893,HYD,FLAT,NO," 53,58,000.00 "
1,805,TPT,FLAT,FULLY," 45,24,100.00 "
1,638,GNT,INDP,PARTIAL," 31,96,380.00 "
1,890,TPT,INDP,NO," 49,84,000.00 "
1,839,HYD,FLAT,NO," 50,34,000.00 "
1,869,HYD,FLAT,NO," 52,14,000.00 "
1,762,GNT,INDP,FULLY," 38,25,240.00 "
1,732,GNT,INDP,PARTIAL," 36,67,320.00 "
1,687,VIJ,FLAT,NO," 37,09,800.00 "
1,654,HYD,FLAT,NO," 39,24,000.00 "
1,823,HYD,FLAT,FULLY," 49,54,460.00 "
1,796,GNT,INDP,PARTIAL," 39,87,960.00 "
1,603,GNT,INDP,NO," 30,15,000.00 "
1,717,KKD,FLAT,NO," 32,26,500.00 "
1,700,HYD,FLAT,NO," 42,00,000.00 "
1,873,GNT,INDP,FULLY," 43,82,460.00 "
1,662,GNT,INDP,PARTIAL," 33,16,620.00 "
1,849,KKD,FLAT,NO," 38,20,500.00 "
1,883,HYD,FLAT,NO," 52,98,000.00 "
1,805,TPT,FLAT,FULLY," 45,24,100.00 "
1,697,GNT,INDP,PARTIAL," 34,91,970.00 "
1,867,TPT,INDP,NO," 48,55,200.00 "
1,610,HYD,FLAT,NO," 36,60,000.00 "
1,760,HYD,FLAT,NO," 45,60,000.00 "
1,771,GNT,INDP,FULLY," 38,70,420.00 "
1,708,GNT,INDP,PARTIAL," 35,47,080.00 "
1,867,VIJ,FLAT,NO," 46,81,800.00 "
1,684,HYD,FLAT,NO," 41,04,000.00 "
1,635,HYD,FLAT,FULLY," 38,22,700.00 "
1,780,GNT,INDP,PARTIAL," 39,07,800.00 "
1,657,GNT,INDP,NO," 32,85,000.00 "
1,767,KKD,FLAT,NO," 34,51,500.00 "
1,868,HYD,FLAT,NO," 52,08,000.00 "
1,714,GNT,INDP,FULLY," 35,84,280.00 "
1,874,GNT,INDP,PARTIAL," 43,78,740.00 "
1,814,KKD,FLAT,NO," 36,63,000.00 "
1,757,HYD,FLAT,NO," 45,42,000.00 "
1,740,TPT,FLAT,FULLY," 41,58,800.00 "
1,653,GNT,INDP,PARTIAL," 32,71,530.00 "
1,888,TPT,INDP,NO," 49,72,800.00 "
1,661,HYD,FLAT,NO," 39,66,000.00 "
1,617,HYD,FLAT,NO," 37,02,000.00 "
1,730,GNT,INDP,FULLY," 36,64,600.00 "
1,609,GNT,INDP,PARTIAL," 30,51,090.00 "
1,829,VIJ,FLAT,NO," 44,76,600.00 "
1,641,HYD,FLAT,NO," 38,46,000.00 "
1,683,HYD,FLAT,FULLY," 41,11,660.00 "
1,706,GNT,INDP,PARTIAL," 35,37,060.00 "
1,896,GNT,INDP,NO," 44,80,000.00 "
1,643,KKD,FLAT,NO," 28,93,500.00 "
1,629,HYD,FLAT,NO," 37,74,000.00 "
1,883,GNT,INDP,FULLY," 44,32,660.00 "
1,685,GNT,INDP,PARTIAL," 34,31,850.00 "
1,735,KKD,FLAT,NO," 33,07,500.00 "
1,888,HYD,FLAT,NO," 53,28,000.00 "
1,734,TPT,FLAT,FULLY," 41,25,080.00 "
1,855,GNT,INDP,PARTIAL," 42,83,550.00 "
1,807,TPT,INDP,NO," 45,19,200.00 "
1,756,HYD,FLAT,NO," 45,36,000.00 "
1,662,HYD,FLAT,NO," 39,72,000.00 "
1,790,GNT,INDP,FULLY," 39,65,800.00 "
1,602,GNT,INDP,PARTIAL," 30,16,020.00 "
1,810,VIJ,FLAT,NO," 43,74,000.00 "
1,802,HYD,FLAT,NO," 48,12,000.00 "
1,627,HYD,FLAT,FULLY," 37,74,540.00 "
1,615,GNT,INDP,PARTIAL," 30,81,150.00 "
1,803,GNT,INDP,NO," 40,15,000.00 "
1,674,KKD,FLAT,NO," 30,33,000.00 "
1,739,HYD,FLAT,NO," 44,34,000.00 "
1,828,GNT,INDP,FULLY," 41,56,560.00 "
1,803,GNT,INDP,PARTIAL," 40,23,030.00 "
1,735,KKD,FLAT,NO," 33,07,500.00 "
1,725,HYD,FLAT,NO," 43,50,000.00 "
1,808,TPT,FLAT,FULLY," 45,40,960.00 "
1,757,GNT,INDP,PARTIAL," 37,92,570.00 "
1,883,TPT,INDP,NO," 49,44,800.00 "
1,889,HYD,FLAT,NO," 53,34,000.00 "
1,663,HYD,FLAT,NO," 39,78,000.00 "
1,866,GNT,INDP,FULLY," 43,47,320.00 "
1,637,GNT,INDP,PARTIAL," 31,91,370.00 "
1,648,VIJ,FLAT,NO," 34,99,200.00 "
1,697,HYD,FLAT,NO," 41,82,000.00 "
1,615,HYD,FLAT,FULLY," 37,02,300.00 "
1,601,GNT,INDP,PARTIAL," 30,11,010.00 "
1,621,GNT,INDP,NO," 31,05,000.00 "
1,829,KKD,FLAT,NO," 37,30,500.00 "
1,755,HYD,FLAT,NO," 45,30,000.00 "
1,853,GNT,INDP,FULLY," 42,82,060.00 "
1,619,GNT,INDP,PARTIAL," 31,01,190.00 "
1,607,KKD,FLAT,NO," 27,31,500.00 "
1,754,HYD,FLAT,NO," 45,24,000.00 "
1,641,TPT,FLAT,FULLY," 36,02,420.00 "
1,887,GNT,INDP,PARTIAL," 44,43,870.00 "
1,622,TPT,INDP,NO," 34,83,200.00 "
1,896,HYD,FLAT,NO," 53,76,000.00 "
1,826,HYD,FLAT,NO," 49,56,000.00 "
1,643,GNT,INDP,FULLY," 32,27,860.00 "
1,760,GNT,INDP,PARTIAL," 38,07,600.00 "
1,690,VIJ,FLAT,NO," 37,26,000.00 "
1,793,HYD,FLAT,NO," 47,58,000.00 "
1,798,HYD,FLAT,FULLY," 48,03,960.00 "
1,877,GNT,INDP,PARTIAL," 43,93,770.00 "
1,690,GNT,INDP,NO," 34,50,000.00 "
1,740,KKD,FLAT,NO," 33,30,000.00 "
1,818,HYD,FLAT,NO," 49,08,000.00 "
1,862,GNT,INDP,FULLY," 43,27,240.00 "
1,782,GNT,INDP,PARTIAL," 39,17,820.00 "
1,864,KKD,FLAT,NO," 38,88,000.00 "
1,878,HYD,FLAT,NO," 52,68,000.00 "
1,617,TPT,FLAT,FULLY," 34,67,540.00 "
1,645,GNT,INDP,PARTIAL," 32,31,450.00 "
1,881,TPT,INDP,NO," 49,33,600.00 "
1,642,HYD,FLAT,NO," 38,52,000.00 "
1,712,HYD,FLAT,NO," 42,72,000.00 "
1,863,GNT,INDP,FULLY," 43,32,260.00 "
1,765,GNT,INDP,PARTIAL," 38,32,650.00 "
1,619,VIJ,FLAT,NO," 33,42,600.00 "
1,661,HYD,FLAT,NO," 39,66,000.00 "
1,690,HYD,FLAT,FULLY," 41,53,800.00 "
1,761,GNT,INDP,PARTIAL," 38,12,610.00 "
1,708,GNT,INDP,NO," 35,40,000.00 "
1,707,KKD,FLAT,NO," 31,81,500.00 "
1,808,HYD,FLAT,NO," 48,48,000.00 "
1,725,GNT,INDP,FULLY," 36,39,500.00 "
1,732,GNT,INDP,PARTIAL," 36,67,320.00 "
1,794,KKD,FLAT,NO," 35,73,000.00 "
1,857,HYD,FLAT,NO," 51,42,000.00 "
1,842,TPT,FLAT,FULLY," 47,32,040.00 "
1,772,GNT,INDP,PARTIAL," 38,67,720.00 "
1,749,TPT,INDP,NO," 41,94,400.00 "
1,600,HYD,FLAT,NO," 36,00,000.00 "
1,683,HYD,FLAT,NO," 40,98,000.00 "
1,604,GNT,INDP,FULLY," 30,32,080.00 "
1,605,GNT,INDP,PARTIAL," 30,31,050.00 "
1,728,VIJ,FLAT,NO," 39,31,200.00 "
1,831,HYD,FLAT,NO," 49,86,000.00 "
1,694,HYD,FLAT,FULLY," 41,77,880.00 "
1,620,GNT,INDP,PARTIAL," 31,06,200.00 "
1,681,GNT,INDP,NO," 34,05,000.00 "
1,747,KKD,FLAT,NO," 33,61,500.00 "
1,746,HYD,FLAT,NO," 44,76,000.00 "
1,689,GNT,INDP,FULLY," 34,58,780.00 "
1,816,GNT,INDP,PARTIAL," 40,88,160.00 "
1,668,KKD,FLAT,NO," 30,06,000.00 "
1,632,HYD,FLAT,NO," 37,92,000.00 "
1,799,TPT,FLAT,FULLY," 44,90,380.00 "
1,646,GNT,INDP,PARTIAL," 32,36,460.00 "
1,881,TPT,INDP,NO," 49,33,600.00 "
1,659,HYD,FLAT,NO," 39,54,000.00 "
1,887,HYD,FLAT,NO," 53,22,000.00 "
1,838,GNT,INDP,FULLY," 42,06,760.00 "
1,628,GNT,INDP,PARTIAL," 31,46,280.00 "
1,864,VIJ,FLAT,NO," 46,65,600.00 "
1,759,HYD,FLAT,NO," 45,54,000.00 "
1,885,HYD,FLAT,FULLY," 53,27,700.00 "
1,809,GNT,INDP,PARTIAL," 40,53,090.00 "
1,630,GNT,INDP,NO," 31,50,000.00 "
1,660,KKD,FLAT,NO," 29,70,000.00 "
1,632,HYD,FLAT,NO," 37,92,000.00 "
1,723,GNT,INDP,FULLY," 36,29,460.00 "
1,884,GNT,INDP,PARTIAL," 44,28,840.00 "
1,619,KKD,FLAT,NO," 27,85,500.00 "
1,801,HYD,FLAT,NO," 48,06,000.00 "
1,628,TPT,FLAT,FULLY," 35,29,360.00 "
1,787,GNT,INDP,PARTIAL," 39,42,870.00 "
1,677,TPT,INDP,NO," 37,91,200.00 "
1,803,HYD,FLAT,NO," 48,18,000.00 "
1,827,HYD,FLAT,NO," 49,62,000.00 "
1,607,GNT,INDP,FULLY," 30,47,140.00 "
1,766,GNT,INDP,PARTIAL," 38,37,660.00 "
1,899,VIJ,FLAT,NO," 48,54,600.00 "
1,756,HYD,FLAT,NO," 45,36,000.00 "
1,722,HYD,FLAT,FULLY," 43,46,440.00 "
1,843,GNT,INDP,PARTIAL," 42,23,430.00 "
1,696,GNT,INDP,NO," 34,80,000.00 "
1,878,KKD,FLAT,NO," 39,51,000.00 "
1,640,HYD,FLAT,NO," 38,40,000.00 "
1,850,GNT,INDP,FULLY," 42,67,000.00 "
1,756,GNT,INDP,PARTIAL," 37,87,560.00 "
1,632,KKD,FLAT,NO," 28,44,000.00 "
1,890,HYD,FLAT,NO," 53,40,000.00 "
1,726,TPT,FLAT,FULLY," 40,80,120.00 "
1,825,GNT,INDP,PARTIAL," 41,33,250.00 "
1,741,TPT,INDP,NO," 41,49,600.00 "
1,878,HYD,FLAT,NO," 52,68,000.00 "
1,775,HYD,FLAT,NO," 46,50,000.00 "
1,757,GNT,INDP,FULLY," 38,00,140.00 "
1,643,GNT,INDP,PARTIAL," 32,21,430.00 "
1,640,VIJ,FLAT,NO," 34,56,000.00 "
1,656,HYD,FLAT,NO," 39,36,000.00 "
1,730,HYD,FLAT,FULLY," 43,94,600.00 "
1,819,GNT,INDP,PARTIAL," 41,03,190.00 "
1,829,GNT,INDP,NO," 41,45,000.00 "
1,721,KKD,FLAT,NO," 32,44,500.00 "
1,676,HYD,FLAT,NO," 40,56,000.00 "
1,739,GNT,INDP,FULLY," 37,09,780.00 "
1,854,GNT,INDP,PARTIAL," 42,78,540.00 "
1,883,KKD,FLAT,NO," 39,73,500.00 "
1,780,HYD,FLAT,NO," 46,80,000.00 "
1,701,TPT,FLAT,FULLY," 39,39,620.00 "
1,860,GNT,INDP,PARTIAL," 43,08,600.00 "
1,640,TPT,INDP,NO," 35,84,000.00 "
1,845,HYD,FLAT,NO," 50,70,000.00 "
1,790,HYD,FLAT,NO," 47,40,000.00 "
1,629,GNT,INDP,FULLY," 31,57,580.00 "
1,651,GNT,INDP,PARTIAL," 32,61,510.00 "
1,743,VIJ,FLAT,NO," 40,12,200.00 "
1,707,HYD,FLAT,NO," 42,42,000.00 "
1,829,HYD,FLAT,FULLY," 49,90,580.00 "
1,879,GNT,INDP,PARTIAL," 44,03,790.00 "
1,644,GNT,INDP,NO," 32,20,000.00 "
1,847,KKD,FLAT,NO," 38,11,500.00 "
1,630,HYD,FLAT,NO," 37,80,000.00 "
1,690,GNT,INDP,FULLY," 34,63,800.00 "
1,819,GNT,INDP,PARTIAL," 41,03,190.00 "
1,628,KKD,FLAT,NO," 28,26,000.00 "
1,611,HYD,FLAT,NO," 36,66,000.00 "
1,835,TPT,FLAT,FULLY," 46,92,700.00 "
1,855,GNT,INDP,PARTIAL," 42,83,550.00 "
1,678,TPT,INDP,NO," 37,96,800.00 "
1,899,HYD,FLAT,NO," 53,94,000.00 "
1,725,HYD,FLAT,NO," 43,50,000.00 "
1,624,GNT,INDP,FULLY," 31,32,480.00 "
1,854,GNT,INDP,PARTIAL," 42,78,540.00 "
1,625,VIJ,FLAT,NO," 33,75,000.00 "
1,835,HYD,FLAT,NO," 50,10,000.00 "
1,624,HYD,FLAT,FULLY," 37,56,480.00 "
1,682,GNT,INDP,PARTIAL," 34,16,820.00 "
1,858,GNT,INDP,NO," 42,90,000.00 "
1,834,KKD,FLAT,NO," 37,53,000.00 "
1,777,HYD,FLAT,NO," 46,62,000.00 "
1,803,GNT,INDP,FULLY," 40,31,060.00 "
1,848,GNT,INDP,PARTIAL," 42,48,480.00 "
1,819,KKD,FLAT,NO," 36,85,500.00 "
1,646,HYD,FLAT,NO," 38,76,000.00 "
1,796,TPT,FLAT,FULLY," 44,73,520.00 "
1,826,GNT,INDP,PARTIAL," 41,38,260.00 "
1,753,TPT,INDP,NO," 42,16,800.00 "
1,614,HYD,FLAT,NO," 36,84,000.00 "
1,832,HYD,FLAT,NO," 49,92,000.00 "
1,788,GNT,INDP,FULLY," 39,55,760.00 "
1,885,GNT,INDP,PARTIAL," 44,33,850.00 "
1,627,VIJ,FLAT,NO," 33,85,800.00 "
1,792,HYD,FLAT,NO," 47,52,000.00 "
1,787,HYD,FLAT,FULLY," 47,37,740.00 "
1,667,GNT,INDP,PARTIAL," 33,41,670.00 "
1,634,GNT,INDP,NO," 31,70,000.00 "
1,727,KKD,FLAT,NO," 32,71,500.00 "
1,680,HYD,FLAT,NO," 40,80,000.00 "
1,809,GNT,INDP,FULLY," 40,61,180.00 "
